date,sqft_backlog_rolling_year
2018-07-18,39398.7296875
2018-07-19,38658.79913194444
2018-07-20,38647.08038194444
2018-07-21,38090.41515679443
2018-07-22,37960.36510416667
2018-07-23,37864.28079584775
2018-07-24,37829.40709342561
2018-07-25,37851.26176470588
2018-07-26,37825.52820069204
2018-07-27,37823.0437716263
2018-07-28,37916.14114583333
2018-07-29,37916.14114583333
2018-07-30,37908.80501730104
2018-07-31,37919.72197231834
2018-08-01,37753.94169550173
2018-08-02,37691.71332179931
2018-08-03,37679.08702422145
2018-08-04,37640.47621527778
2018-08-05,37637.68454861111
2018-08-06,37682.96579861111
2018-08-07,37642.58385416667
2018-08-08,38436.69149305556
2018-08-09,38443.12552083333
2018-08-10,37423.00399305556
2018-08-11,37519.46045296167
2018-08-12,37389.92065972222
2018-08-13,37518.056076388886
2018-08-14,36869.94496527778
2018-08-15,36759.99704861111
2018-08-16,36731.69496527778
2018-08-17,36774.22274305556
2018-08-18,36515.15731707317
2018-08-19,36396.30260416667
2018-08-20,36439.5121875
2018-08-21,36163.34899305556
2018-08-22,36248.47746527778
2018-08-23,36046.52954861111
2018-08-24,35961.38371527778
2018-08-25,36048.116759581884
2018-08-26,36170.949335664336
2018-08-27,36094.74393728223
2018-08-28,36112.61850174216
2018-08-29,36150.98783972125
2018-08-30,35879.3118815331
2018-08-31,35919.88331010453
2018-09-01,35944.935349650346
2018-09-02,35944.935349650346
2018-09-03,35944.935349650346
2018-09-04,35889.876341463416
2018-09-05,35892.672334494775
2018-09-06,35700.50160278746
2018-09-07,35715.062578397214
2018-09-08,35793.14321678322
2018-09-09,35916.5858245614
2018-09-10,35941.03143859649
2018-09-11,35935.57529824561
2018-09-12,35776.38933333333
2018-09-13,35817.68757894737
2018-09-14,35855.39284210526
2018-09-15,35953.16183098592
2018-09-16,35828.83494736842
2018-09-17,35710.53132867133
2018-09-18,36163.314545454545
2018-09-19,35368.265594405595
2018-09-20,35341.87398601398
2018-09-21,35378.30055944056
2018-09-22,35467.508631578945
2018-09-23,35344.98587412587
2018-09-24,35271.53296167247
2018-09-25,35145.658397212545
2018-09-26,35412.226341463414
2018-09-27,35361.22982578397
2018-09-28,35879.99986062718
2018-09-29,35946.79006993007
2018-09-30,35824.14968641115
2018-10-01,35838.66536585366
2018-10-02,35869.8012543554
2018-10-03,35973.491149825786
2018-10-04,35922.717630662024
2018-10-05,36038.99637630662
2018-10-06,36020.604755244756
2018-10-07,36020.604755244756
2018-10-08,36031.415944055945
2018-10-09,35512.70615384616
2018-10-10,35381.32153846154
2018-10-11,35416.35650349651
2018-10-12,35495.30055944056
2018-10-13,35542.58933333334
2018-10-14,35542.58933333334
2018-10-15,35444.48237762238
2018-10-16,35340.55580419581
2018-10-17,35326.40545454546
2018-10-18,35826.33902097902
2018-10-19,35499.49286713287
2018-10-20,35555.512140350875
2018-10-21,35552.03845614035
2018-10-22,35608.38933333333
2018-10-23,35607.09810526316
2018-10-24,34057.23845614035
2018-10-25,34153.96477192982
2018-10-26,34368.05249122807
2018-10-27,34473.4047887324
2018-10-28,34352.85950877193
2018-10-29,34255.213146853144
2018-10-30,34207.02433566433
2018-10-31,34834.33902097902
2018-11-01,34738.30055944056
2018-11-02,34747.401958041955
2018-11-03,34814.491087719296
2018-11-04,34693.23762237762
2018-11-05,34713.562797202794
2018-11-06,34623.65020979021
2018-11-07,34623.52083916084
2018-11-08,34569.153706293706
2018-11-09,34553.89146853147
2018-11-10,34553.89146853147
2018-11-11,34553.89146853147
2018-11-12,34671.27354385965
