date,type,value
2011-09-01,Accessory Dwelling Unit,78.59562841530055
2011-09-02,Accessory Dwelling Unit,78.59562841530055
2011-09-03,Accessory Dwelling Unit,78.59562841530055
2011-09-04,Accessory Dwelling Unit,78.59562841530055
2011-09-05,Accessory Dwelling Unit,78.59562841530055
2011-09-06,Accessory Dwelling Unit,78.59562841530055
2011-09-07,Accessory Dwelling Unit,78.59562841530055
2011-09-08,Accessory Dwelling Unit,78.59562841530055
2011-09-09,Accessory Dwelling Unit,76.07103825136612
2011-09-10,Accessory Dwelling Unit,76.07103825136612
2011-09-11,Accessory Dwelling Unit,76.07103825136612
2011-09-12,Accessory Dwelling Unit,76.07103825136612
2011-09-13,Accessory Dwelling Unit,76.07103825136612
2011-09-14,Accessory Dwelling Unit,76.07103825136612
2011-09-15,Accessory Dwelling Unit,76.07103825136612
2011-09-16,Accessory Dwelling Unit,73.65573770491804
2011-09-17,Accessory Dwelling Unit,73.65573770491804
2011-09-18,Accessory Dwelling Unit,73.65573770491804
2011-09-19,Accessory Dwelling Unit,73.65573770491804
2011-09-20,Accessory Dwelling Unit,76.57650273224044
2011-09-21,Accessory Dwelling Unit,76.57650273224044
2011-09-22,Accessory Dwelling Unit,76.57650273224044
2011-09-23,Accessory Dwelling Unit,76.57650273224044
2011-09-24,Accessory Dwelling Unit,73.94808743169399
2011-09-25,Accessory Dwelling Unit,73.94808743169399
2011-09-26,Accessory Dwelling Unit,73.94808743169399
2011-09-27,Accessory Dwelling Unit,73.94808743169399
2011-09-28,Accessory Dwelling Unit,73.94808743169399
2011-09-29,Accessory Dwelling Unit,71.35245901639344
2011-09-30,Accessory Dwelling Unit,70.58743169398907
2011-10-01,Accessory Dwelling Unit,70.58743169398907
2011-10-02,Accessory Dwelling Unit,70.58743169398907
2011-10-03,Accessory Dwelling Unit,70.58743169398907
2011-10-04,Accessory Dwelling Unit,70.58743169398907
2011-10-05,Accessory Dwelling Unit,70.58743169398907
2011-10-06,Accessory Dwelling Unit,71.68032786885246
2011-10-07,Accessory Dwelling Unit,71.68032786885246
2011-10-08,Accessory Dwelling Unit,71.68032786885246
2011-10-09,Accessory Dwelling Unit,71.68032786885246
2011-10-10,Accessory Dwelling Unit,71.68032786885246
2011-10-11,Accessory Dwelling Unit,80.18579234972678
2011-10-12,Accessory Dwelling Unit,80.18579234972678
2011-10-13,Accessory Dwelling Unit,80.18579234972678
2011-10-14,Accessory Dwelling Unit,80.18579234972678
2011-10-15,Accessory Dwelling Unit,80.18579234972678
2011-10-16,Accessory Dwelling Unit,80.18579234972678
2011-10-17,Accessory Dwelling Unit,80.18579234972678
2011-10-18,Accessory Dwelling Unit,80.18579234972678
2011-10-19,Accessory Dwelling Unit,84.18579234972678
2011-10-20,Accessory Dwelling Unit,83.1584699453552
2011-10-21,Accessory Dwelling Unit,83.1584699453552
2011-10-22,Accessory Dwelling Unit,83.1584699453552
2011-10-23,Accessory Dwelling Unit,81.80601092896175
2011-10-24,Accessory Dwelling Unit,81.80601092896175
2011-10-25,Accessory Dwelling Unit,81.80601092896175
2011-10-26,Accessory Dwelling Unit,81.80601092896175
2011-10-27,Accessory Dwelling Unit,82.85792349726776
2011-10-28,Accessory Dwelling Unit,83.80874316939891
2011-10-29,Accessory Dwelling Unit,83.80874316939891
