,date,type,value
605,2012-06-28,Addition,3705.3465753424657
606,2012-06-29,Addition,3705.3465753424657
607,2012-07-02,Addition,3705.2041095890413
608,2012-07-03,Addition,3706.960273972603
609,2012-07-05,Addition,3544.3027397260275
610,2012-07-06,Addition,3572.0178082191783
611,2012-07-09,Addition,3573.56301369863
612,2012-07-10,Addition,3578.5054794520547
613,2012-07-11,Addition,3590.297260273973
614,2012-07-12,Addition,3596.17397260274
615,2012-07-13,Addition,3596.5301369863014
616,2012-07-17,Addition,3611.1657534246574
617,2012-07-18,Addition,3609.3630136986303
618,2012-07-19,Addition,3610.1575342465753
619,2012-07-20,Addition,3609.3712328767124
620,2012-07-23,Addition,3607.804109589041
621,2012-07-24,Addition,3610.004109589041
622,2012-07-25,Addition,3607.253424657534
623,2012-07-26,Addition,3606.428767123288
624,2012-07-27,Addition,3606.7794520547945
625,2012-07-30,Addition,3610.77397260274
626,2012-07-31,Addition,3628.2424657534248
627,2012-08-01,Addition,3608.8397260273973
628,2012-08-02,Addition,3632.9575342465755
629,2012-08-03,Addition,3643.5931506849315
630,2012-08-07,Addition,3648.2041095890413
631,2012-08-08,Addition,3649.9821917808217
632,2012-08-09,Addition,3650.067123287671
633,2012-08-10,Addition,3678.376712328767
634,2012-08-13,Addition,3687.9849315068495
635,2012-08-14,Addition,3703.543835616438
636,2012-08-15,Addition,3706.135616438356
637,2012-08-16,Addition,3717.6917808219177
638,2012-08-17,Addition,3773.43698630137
639,2012-08-20,Addition,3783.727397260274
640,2012-08-21,Addition,3792.108219178082
641,2012-08-22,Addition,3793.2342465753422
642,2012-08-23,Addition,3814.5657534246575
643,2012-08-24,Addition,3813.5328767123287
644,2012-08-27,Addition,3818.2561643835616
645,2012-08-28,Addition,3821.9712328767123
646,2012-08-29,Addition,3819.7383561643837
647,2012-08-30,Addition,3253.0616438356165
648,2012-08-31,Addition,3249.9164383561642
649,2012-09-04,Addition,3253.5219178082193
650,2012-09-05,Addition,3052.4780821917807
651,2012-09-06,Addition,3052.76301369863
652,2012-09-07,Addition,3063.384931506849
653,2012-09-10,Addition,3061.3794520547945
654,2012-09-11,Addition,3054.713698630137
655,2012-09-12,Addition,3059.2616438356163
656,2012-09-13,Addition,3068.1493150684933
657,2012-09-14,Addition,3068.1876712328767
658,2012-09-17,Addition,3061.357534246575
659,2012-09-18,Addition,3075.96301369863
660,2012-09-19,Addition,3080.721917808219
661,2012-09-20,Addition,3080.721917808219
662,2012-09-21,Addition,3078.464383561644
663,2012-09-24,Addition,3077.0835616438358
664,2012-09-25,Addition,3322.527397260274
665,2012-09-26,Addition,3325.645205479452
666,2012-09-27,Addition,3327.2753424657535
667,2012-09-28,Addition,3326.954794520548
668,2012-10-01,Addition,3328.5986301369862
669,2012-10-02,Addition,3328.8424657534247
670,2012-10-03,Addition,3335.16301369863
671,2012-10-04,Addition,3338.7520547945205
672,2012-10-05,Addition,3349.3
673,2012-10-08,Addition,3350.5164383561646
674,2012-10-09,Addition,3340.050684931507
675,2012-10-10,Addition,3340.1931506849314
676,2012-10-11,Addition,3341.7
677,2012-10-12,Addition,3360.527397260274
678,2012-10-15,Addition,3359.253424657534
679,2012-10-16,Addition,3359.686301369863
680,2012-10-17,Addition,3358.8671232876713
681,2012-10-18,Addition,2992.357534246575
682,2012-10-19,Addition,2992.395890410959
683,2012-10-23,Addition,3021.1054794520546
684,2012-10-24,Addition,3024.3191780821917
685,2012-10-25,Addition,3020.7082191780823
686,2012-10-26,Addition,3033.269863013699
687,2012-10-29,Addition,3018.828767123288
688,2012-10-30,Addition,3029.0342465753424
689,2012-10-31,Addition,3022.6616438356164
690,2012-11-01,Addition,3020.642465753425
691,2012-11-02,Addition,3019.2123287671234
692,2012-11-05,Addition,2991.2342465753422
693,2012-11-06,Addition,2991.5602739726028
694,2012-11-07,Addition,2989.1794520547946
695,2012-11-08,Addition,2985.1657534246574
696,2012-11-09,Addition,2984.1164383561645
697,2012-11-13,Addition,2973.141095890411
698,2012-11-14,Addition,2977.3191780821917
699,2012-11-15,Addition,2975.639726027397
700,2012-11-16,Addition,2973.949315068493
701,2012-11-19,Addition,2973.7794520547945
702,2012-11-20,Addition,2974.250684931507
703,2012-11-21,Addition,2977.7328767123286
704,2012-11-27,Addition,2974.5739726027396
705,2012-11-28,Addition,2968.913698630137
706,2012-11-29,Addition,2978.801369863014
707,2012-11-30,Addition,2980.853424657534
708,2012-12-03,Addition,2979.3356164383563
709,2012-12-04,Addition,2976.253424657534
710,2012-12-05,Addition,2983.3876712328765
711,2012-12-06,Addition,2977.9986301369863
712,2012-12-07,Addition,2973.3739726027397
713,2012-12-10,Addition,2980.587671232877
714,2012-12-11,Addition,2981.9931506849316
715,2012-12-12,Addition,2992.190410958904
716,2012-12-13,Addition,2989.286301369863
717,2012-12-14,Addition,2995.754794520548
718,2012-12-17,Addition,2993.891780821918
719,2012-12-18,Addition,2999.1767123287673
720,2012-12-19,Addition,3009.7931506849313
721,2012-12-20,Addition,2997.995890410959
722,2012-12-21,Addition,3009.7986301369865
723,2012-12-23,Addition,3002.7712328767125
724,2012-12-24,Addition,3002.7712328767125
725,2012-12-27,Addition,3005.4534246575345
726,2012-12-28,Addition,3009.146575342466
727,2012-12-31,Addition,3004.5931506849315
728,2013-01-02,Addition,3002.135616438356
729,2013-01-03,Addition,3007.2123287671234
730,2013-01-04,Addition,3005.5301369863014
731,2013-01-07,Addition,3004.2150684931507
732,2013-01-08,Addition,3005.9986301369863
733,2013-01-09,Addition,3007.1520547945206
734,2013-01-10,Addition,3003.913698630137
735,2013-01-11,Addition,3002.727397260274
736,2013-01-14,Addition,3002.0095890410958
737,2013-01-15,Addition,2996.2068493150687
738,2013-01-16,Addition,2996.2068493150687
739,2013-01-17,Addition,2995.064383561644
740,2013-01-18,Addition,2988.954794520548
741,2013-01-22,Addition,3075.1602739726027
742,2013-01-23,Addition,3117.9931506849316
743,2013-01-24,Addition,3118.1246575342466
744,2013-01-25,Addition,3131.294520547945
745,2013-01-28,Addition,3127.245205479452
746,2013-01-29,Addition,3121.8753424657534
747,2013-01-30,Addition,3118.368493150685
748,2013-01-31,Addition,3120.809589041096
749,2013-02-01,Addition,3109.1493150684933
750,2013-02-04,Addition,3111.171232876712
751,2013-02-05,Addition,3108.4972602739726
752,2013-02-06,Addition,3125.357534246575
753,2013-02-07,Addition,3123.2205479452055
754,2013-02-08,Addition,3110.886301369863
755,2013-02-09,Addition,3093.0013698630137
756,2013-02-11,Addition,3111.1575342465753
757,2013-02-12,Addition,3110.417808219178
758,2013-02-13,Addition,3113.642465753425
759,2013-02-14,Addition,3114.3027397260275
760,2013-02-15,Addition,3115.1684931506848
761,2013-02-19,Addition,3113.5575342465754
762,2013-02-20,Addition,3108.4780821917807
763,2013-02-21,Addition,3095.4890410958906
764,2013-02-22,Addition,3122.058904109589
765,2013-02-25,Addition,3106.9438356164383
766,2013-02-26,Addition,3115.0890410958905
767,2013-02-27,Addition,3117.280821917808
768,2013-02-28,Addition,3119.4835616438354
