date,total_sqft_issued_amt,total_new_units_issued_amt,count_permits_issued,count_total_permits_issued
2015-01-22,34430.916889632106,17.155405405405407,154.23497267759564,56450
2015-01-23,34447.11755852843,17.16216216216216,154.33333333333334,56486
2015-01-24,34471.56761744966,17.183050847457626,154.23224043715848,56449
2015-01-25,34448.80587248322,17.17627118644068,153.73224043715848,56266
2015-01-26,34551.413255033556,17.210169491525424,154.12841530054644,56411
2015-01-27,34466.00384615385,17.16554054054054,154.67486338797815,56611
2015-01-28,34488.057357859536,17.16554054054054,155.05191256830602,56749
2015-01-29,34459.23127090301,17.16554054054054,154.82513661202185,56666
2015-01-30,34445.679431438126,17.19256756756757,155.03005464480876,56741
2015-01-31,34397.428595317724,17.158783783783782,154.55464480874318,56567
2015-02-01,34367.378428093645,17.14864864864865,154.0792349726776,56393
2015-02-02,35011.2245819398,17.618243243243242,154.4016393442623,56511
2015-02-03,34899.963833333335,17.562289562289564,155.08743169398906,56762
2015-02-04,34887.67716666667,17.569023569023567,155.28961748633878,56836
2015-02-05,34840.86716666667,17.50841750841751,155.13934426229508,56781
2015-02-06,34840.487166666666,17.525252525252526,155.1584699453552,56788
2015-02-07,34822.94383333333,17.521885521885523,154.85245901639345,56676
2015-02-08,34713.51212624585,17.463087248322147,154.81420765027323,56662
2015-02-09,34625.603145695364,17.418060200668897,155.35792349726776,56861
2015-02-10,34527.079702970295,17.376666666666665,156.06830601092895,57121
2015-02-11,34557.152310231024,17.383333333333333,156.53005464480876,57290
2015-02-12,34376.61765676568,17.37,156.46994535519124,57268
2015-02-13,34399.248019801984,17.37,156.5928961748634,57313
2015-02-14,34444.417715231786,17.377926421404684,156.5601092896175,57301
2015-02-15,34489.89750830565,17.38255033557047,156.02732240437157,57106
2015-02-16,34604.49716666667,17.44107744107744,155.95355191256832,57079
2015-02-17,34564.26627906977,17.47986577181208,156.70765027322403,57355
2015-02-18,34519.53360927152,17.441471571906355,157.10655737704917,57501
2015-02-19,34487.07334437086,17.441471571906355,157.0983606557377,57498
2015-02-20,35094.19254966888,18.03344481605351,157.15300546448088,57518
2015-02-21,35070.10976821192,18.023411371237458,156.71038251366122,57356
2015-02-22,35152.19651162791,18.06711409395973,156.15300546448088,57152
2015-02-23,35208.30282392027,18.09731543624161,156.5846994535519,57310
2015-02-24,35298.10645695365,18.25752508361204,157.1448087431694,57515
2015-02-25,36105.520364238415,18.277591973244146,157.52185792349727,57653
2015-02-26,36071.66274834437,18.25083612040134,157.46174863387978,57631
2015-02-27,37153.977317880795,18.264214046822744,157.4262295081967,57618
2015-02-28,36867.5832781457,18.066889632107024,157.28961748633878,57568
2015-03-01,36840.98394039735,18.05351170568562,156.68852459016392,57348
