date,type,value
2011-12-27,Commercial,1947.8661202185792
2011-12-28,Commercial,1947.8661202185792
2011-12-29,Commercial,1947.8661202185792
2011-12-30,Commercial,1947.8661202185792
2011-12-31,Commercial,1947.8661202185792
2012-01-01,Commercial,1947.8661202185792
2012-01-02,Commercial,1947.8661202185792
2012-01-03,Commercial,1947.8661202185792
2012-01-04,Commercial,1784.5710382513662
2012-01-05,Commercial,1784.5710382513662
2012-01-06,Commercial,1784.5710382513662
2012-01-07,Commercial,1784.5710382513662
2012-01-08,Commercial,1784.5710382513662
2012-01-09,Commercial,1784.5710382513662
2012-01-10,Commercial,1784.5710382513662
2012-01-11,Commercial,1784.5710382513662
2012-01-12,Commercial,1784.5710382513662
2012-01-13,Commercial,1784.5710382513662
2012-01-14,Commercial,1784.5710382513662
2012-01-15,Commercial,1784.5710382513662
2012-01-16,Commercial,1784.5710382513662
2012-01-17,Commercial,1784.5710382513662
2012-01-18,Commercial,1785.879781420765
2012-01-19,Commercial,1785.879781420765
2012-01-20,Commercial,1785.879781420765
2012-01-21,Commercial,1785.879781420765
2012-01-22,Commercial,1777.275956284153
2012-01-23,Commercial,1777.275956284153
2012-01-24,Commercial,1777.275956284153
2012-01-25,Commercial,1777.275956284153
2012-01-26,Commercial,1777.275956284153
2012-01-27,Commercial,1757.1092896174864
2012-01-28,Commercial,1733.1010928961748
2012-01-29,Commercial,1732.5765027322404
2012-01-30,Commercial,1732.5765027322404
2012-01-31,Commercial,1732.5765027322404
2012-02-01,Commercial,1734.3251366120219
2012-02-02,Commercial,1735.4180327868853
2012-02-03,Commercial,1735.4180327868853
2012-02-04,Commercial,1735.4180327868853
2012-02-05,Commercial,1735.4180327868853
2012-02-06,Commercial,1735.4180327868853
2012-02-07,Commercial,1735.4180327868853
2012-02-08,Commercial,1735.4180327868853
2012-02-09,Commercial,1669.1939890710382
2012-02-10,Commercial,1669.1939890710382
2012-02-11,Commercial,1669.1939890710382
2012-02-12,Commercial,1669.1939890710382
2012-02-13,Commercial,1674.3989071038252
2012-02-14,Commercial,1674.6939890710382
2012-02-15,Commercial,1700.360655737705
2012-02-16,Commercial,1700.360655737705
2012-02-17,Commercial,1700.360655737705
2012-02-18,Commercial,1700.360655737705
2012-02-19,Commercial,1700.360655737705
2012-02-20,Commercial,1700.360655737705
2012-02-21,Commercial,1700.360655737705
2012-02-22,Commercial,1714.051912568306
2012-02-23,Commercial,1714.051912568306
2012-02-24,Commercial,1714.051912568306
2012-02-25,Commercial,1714.051912568306
2012-02-26,Commercial,1714.051912568306
2012-02-27,Commercial,1714.051912568306
2012-02-28,Commercial,1716.1693989071039
2012-02-29,Commercial,1716.1693989071039
2012-03-01,Commercial,1716.1693989071039
2012-03-02,Commercial,1718.9234972677596
2012-03-03,Commercial,1155.0901639344263
2012-03-04,Commercial,1155.0901639344263
2012-03-05,Commercial,1155.0901639344263
2012-03-06,Commercial,1155.0901639344263
2012-03-07,Commercial,1155.0901639344263
2012-03-08,Commercial,1150.7677595628415
2012-03-09,Commercial,1150.7677595628415
2012-03-10,Commercial,1150.7677595628415
2012-03-11,Commercial,1150.7677595628415
2012-03-12,Commercial,1150.7677595628415
2012-03-13,Commercial,1150.7677595628415
2012-03-14,Commercial,1158.2650273224044
2012-03-15,Commercial,1158.2650273224044
2012-03-16,Commercial,1158.2650273224044
2012-03-17,Commercial,1158.2650273224044
2012-03-18,Commercial,1158.2650273224044
2012-03-19,Commercial,1158.2650273224044
2012-03-20,Commercial,1165.9153005464482
2012-03-21,Commercial,1162.7103825136612
2012-03-22,Commercial,1162.7103825136612
2012-03-23,Commercial,1199.1584699453551
2012-03-24,Commercial,1199.1584699453551
2012-03-25,Commercial,1199.1584699453551
2012-03-26,Commercial,1321.363387978142
2012-03-27,Commercial,1375.8743169398906
2012-03-28,Commercial,1375.8743169398906
2012-03-29,Commercial,1384.1639344262296
2012-03-30,Commercial,1384.1639344262296
2012-03-31,Commercial,1379.5054644808743
2012-04-01,Commercial,1379.5054644808743
2012-04-02,Commercial,1379.5054644808743
2012-04-03,Commercial,1379.5054644808743
2012-04-04,Commercial,1379.5054644808743
2012-04-05,Commercial,1379.5054644808743
2012-04-06,Commercial,1082.3415300546449
2012-04-07,Commercial,1082.3415300546449
2012-04-08,Commercial,1082.3415300546449
2012-04-09,Commercial,1091.3579234972678
2012-04-10,Commercial,1091.3579234972678
2012-04-11,Commercial,1107.620218579235
2012-04-12,Commercial,1107.620218579235
2012-04-13,Commercial,1537.1420765027322
2012-04-14,Commercial,1537.1420765027322
2012-04-15,Commercial,1537.1420765027322
2012-04-16,Commercial,1537.1420765027322
2012-04-17,Commercial,1537.1420765027322
2012-04-18,Commercial,1537.1420765027322
2012-04-19,Commercial,1537.1420765027322
2012-04-20,Commercial,1540.6939890710382
2012-04-21,Commercial,1540.6939890710382
2012-04-22,Commercial,1540.6939890710382
2012-04-23,Commercial,1540.6939890710382
2012-04-24,Commercial,1621.4726775956285
2012-04-25,Commercial,1621.4726775956285
2012-04-26,Commercial,1621.4726775956285
